datetime,location,count_operation,count_change,count_total
2017-04-01 11:02:45.233000,Georgetown,-,1,27
2017-04-01 11:02:47.313000,Georgetown,-,1,26
2017-04-01 11:02:54.805000,Georgetown,-,1,25
2017-04-01 11:02:56.708000,Georgetown,-,1,24
2017-04-01 11:02:58.336000,Georgetown,-,1,23
2017-04-01 11:03:10.584000,Georgetown,-,1,22
2017-04-01 11:03:20.841000,Georgetown,-,1,21
2017-04-01 11:03:34.543000,Georgetown,-,1,20
2017-04-01 11:04:59.860000,Georgetown,-,1,19
2017-04-01 11:05:29.599000,Georgetown,+,1,20
2017-04-01 11:05:31.053000,Georgetown,+,1,21
2017-04-01 11:05:32.492000,Georgetown,+,1,22
2017-04-01 11:05:33.790000,Georgetown,+,1,23
2017-04-01 11:05:38.669000,Georgetown,-,1,22
2017-04-01 11:05:55.860000,Georgetown,+,1,23
2017-04-01 11:06:00.799000,Georgetown,+,1,24
2017-04-01 11:06:03.319000,Georgetown,-,1,23
2017-04-01 11:06:20.933000,Georgetown,+,1,24
2017-04-01 11:06:23.670000,Georgetown,-,1,23
2017-04-01 11:06:46.608000,Georgetown,-,1,22
2017-04-01 11:06:49.356000,Georgetown,-,1,21
2017-04-01 11:07:09.776000,Georgetown,+,1,22
2017-04-01 11:07:16.809000,Georgetown,+,1,23
2017-04-01 11:07:55.195000,Georgetown,+,1,24
2017-04-01 11:07:58.515000,Georgetown,+,1,25
2017-04-01 11:08:17.082000,Georgetown,-,1,24
2017-04-01 11:08:51.103000,Georgetown,+,1,25
2017-04-01 11:09:14.979000,Georgetown,+,1,26
2017-04-01 11:09:16.320000,Georgetown,+,1,27
2017-04-01 11:09:26.113000,Georgetown,+,1,28
2017-04-01 11:09:39.928000,Georgetown,+,1,29
2017-04-01 11:11:00.483000,Georgetown,+,1,30
2017-04-01 11:13:51.352000,Georgetown,+,1,31
2017-04-01 11:50:13.943000,Georgetown,-,1,30
2017-04-01 11:50:17.396000,Georgetown,-,1,29
2017-04-01 11:50:23.700000,Georgetown,-,1,28
2017-04-01 11:50:25.763000,Georgetown,-,1,27
2017-04-01 11:50:29.022000,Georgetown,-,1,26
2017-04-01 11:50:38.540000,Georgetown,-,1,25
2017-04-01 11:50:49.745000,Georgetown,-,1,24
2017-04-01 11:51:02.183000,Georgetown,-,1,23
2017-04-01 11:51:27.720000,Georgetown,-,1,22
2017-04-01 11:51:28.764000,Georgetown,-,1,21
2017-04-01 11:51:29.566000,Georgetown,-,1,20
2017-04-01 11:51:43.232000,Georgetown,-,1,19
2017-04-01 11:51:55.419000,Georgetown,-,1,18
2017-04-01 11:51:59.552000,Georgetown,-,1,17
2017-04-01 11:52:00.162000,Georgetown,-,1,16
2017-04-01 11:52:08.782000,Georgetown,-,1,15
2017-04-01 11:52:19.265000,Georgetown,-,1,14
2017-04-01 11:52:19.961000,Georgetown,-,1,13
2017-04-01 11:54:35.599000,Georgetown,-,1,12
2017-04-01 11:54:42.892000,Georgetown,-,1,11
2017-04-01 11:54:43.832000,Georgetown,-,1,10
2017-04-01 11:54:44.785000,Georgetown,-,1,9
2017-04-01 11:54:45.716000,Georgetown,-,1,8
2017-04-01 11:55:02.212000,Georgetown,x,8,0
2017-04-01 12:42:39.432000,Georgetown,+,1,1
2017-04-01 12:42:40.697000,Georgetown,+,1,2
2017-04-01 12:42:41.899000,Georgetown,+,1,3
2017-04-01 12:42:47.278000,Georgetown,+,1,4
2017-04-01 12:42:48.400000,Georgetown,+,1,5
2017-04-01 12:42:49.249000,Georgetown,+,1,6
2017-04-01 12:42:50.128000,Georgetown,+,1,7
2017-04-01 12:44:27.146000,Georgetown,+,1,8
2017-04-01 12:45:17.482000,Georgetown,+,1,9
2017-04-01 12:46:26.409000,Georgetown,+,1,10
2017-04-01 12:46:27.053000,Georgetown,+,1,11
2017-04-01 12:46:27.944000,Georgetown,+,1,12
2017-04-01 12:46:33.912000,Georgetown,-,1,11
2017-04-01 12:47:14.936000,Georgetown,+,1,12
2017-04-01 12:47:34.398000,Georgetown,+,1,13
2017-04-01 12:47:35.200000,Georgetown,+,1,14
2017-04-01 12:47:35.838000,Georgetown,+,1,15
2017-04-01 12:47:36.369000,Georgetown,+,1,16
2017-04-01 12:49:16.583000,Georgetown,+,1,17
2017-04-01 12:49:17.383000,Georgetown,+,1,18
2017-04-01 12:49:19.054000,Georgetown,+,1,19
2017-04-01 12:49:42.845000,Georgetown,+,1,20
2017-04-01 12:50:40.696000,Georgetown,+,1,21
2017-04-01 12:50:41.664000,Georgetown,+,1,22
2017-04-01 12:50:43.517000,Georgetown,+,1,23
2017-04-01 12:51:35.191000,Georgetown,-,1,22
2017-04-01 12:51:44.589000,Georgetown,+,1,23
2017-04-01 12:52:07.002000,Georgetown,+,1,24
2017-04-01 12:52:20.468000,Georgetown,-,1,23
2017-04-01 12:53:07.936000,Georgetown,+,1,24
2017-04-01 12:54:16.379000,Georgetown,+,1,25
2017-04-01 12:55:15.820000,Georgetown,+,1,26
2017-04-01 12:55:49.166000,Georgetown,+,1,27
2017-04-01 12:55:57.029000,Georgetown,+,1,28
2017-04-01 12:55:57.915000,Georgetown,+,1,29
2017-04-01 12:56:06.270000,Georgetown,+,1,30
